community,model,prompt_id,category,divergence
Dai/Thai,DeepSeek-V3.2,A1,A,0.3695424795150757
Dai/Thai,DeepSeek-V3.2,A2,A,0.20522856712341309
Dai/Thai,DeepSeek-V3.2,A3,A,0.359478235244751
Dai/Thai,DeepSeek-V3.2,B1,B,0.212604820728302
Dai/Thai,DeepSeek-V3.2,B2,B,0.2533085346221924
Dai/Thai,DeepSeek-V3.2,B3,B,0.26860368251800537
Dai/Thai,DeepSeek-V3.2,C1,C,0.16299331188201904
Dai/Thai,DeepSeek-V3.2,C2,C,0.22852462530136108
Dai/Thai,DeepSeek-V3.2,D1,D,0.2502793073654175
Dai/Thai,DeepSeek-V3.2,D2,D,0.34176307916641235
Dai/Thai,DeepSeek-V3.2,D3,D,0.32164204120635986
Dai/Thai,GPT-5.1,A1,A,0.2890855073928833
Dai/Thai,GPT-5.1,A2,A,0.1647946834564209
Dai/Thai,GPT-5.1,A3,A,0.2819826602935791
Dai/Thai,GPT-5.1,B1,B,0.2126905918121338
Dai/Thai,GPT-5.1,B2,B,0.2515043020248413
Dai/Thai,GPT-5.1,B3,B,0.2590257525444031
Dai/Thai,GPT-5.1,C1,C,0.19086045026779175
Dai/Thai,GPT-5.1,C2,C,0.20363831520080566
Dai/Thai,GPT-5.1,D1,D,0.3115167021751404
Dai/Thai,GPT-5.1,D2,D,0.283674418926239
Dai/Thai,GPT-5.1,D3,D,0.24913161993026733
De'ang,DeepSeek-V3.2,A1,A,0.306949257850647
De'ang,DeepSeek-V3.2,A2,A,0.24136793613433838
De'ang,DeepSeek-V3.2,A3,A,0.22525256872177124
De'ang,DeepSeek-V3.2,B1,B,0.17700684070587158
De'ang,DeepSeek-V3.2,B2,B,0.18906641006469727
De'ang,DeepSeek-V3.2,B3,B,0.16756457090377808
De'ang,DeepSeek-V3.2,C1,C,0.30564969778060913
De'ang,DeepSeek-V3.2,C2,C,0.28936660289764404
De'ang,DeepSeek-V3.2,D1,D,0.28471243381500244
De'ang,DeepSeek-V3.2,D2,D,0.25606822967529297
De'ang,DeepSeek-V3.2,D3,D,0.20747387409210205
De'ang,GPT-5.1,A1,A,0.19134777784347534
De'ang,GPT-5.1,A2,A,0.32008039951324463
De'ang,GPT-5.1,A3,A,0.25181299448013306
De'ang,GPT-5.1,B1,B,0.1826716661453247
De'ang,GPT-5.1,B2,B,0.16190195083618164
De'ang,GPT-5.1,B3,B,0.10943448543548584
De'ang,GPT-5.1,C1,C,0.33485323190689087
De'ang,GPT-5.1,C2,C,0.16447383165359497
De'ang,GPT-5.1,D1,D,0.3274877667427063
De'ang,GPT-5.1,D2,D,0.18583309650421143
De'ang,GPT-5.1,D3,D,0.15466320514678955
Dulong,DeepSeek-V3.2,A1,A,0.4872095584869385
